Invited_By_Email_Address,Appeared_On,Employee_ID,Employee_Full_Name,Employee_Email_Address,Competency,Job_Role,Candidate_Status,Test_Id,Test_Name,Test_Status,Test_Link_Name,Test_Score,Candidate_Score,Test_Negative_Points,Percentage,Performance_Category,Total_Questions,Test_Duration(minutes),Time_Taken(minutes),Candidate_Feedback,Proctoring_Flag,Window_Violation,Time_Violation(seconds),Applicant_ID,Percentile,Completion_Time_Flag,Avg_Test_Time(Minutes),Test Navigation Type,Email Writing_Total_Score,Email Writing_Candidate_Score,Email Writing_Negative_Points,Email Writing_Section_Percentage,Email Writing_CEFR-Level_Percentage,Email Writing_Grammar_Percentage,Email Writing_Readability_Percentage,Email Writing_Word-Count_Percentage,Email Writing_Vocabulary_Percentage,Email Writing_Orthographic_Control_Percentage,Email Writing_Thematic_Development_Percentage,Email Writing_CoherenceAndCohesion_Percentage,Email Writing_Comprehension_Percentage,Email Writing_CEFR Level,Email Writing_Questions,Email Writing_Not_Answered,Email Writing_Answered,Email Writing_Correct,Email Writing_Wrong,Reading (A2)_Total_Score,Reading (A2)_Candidate_Score,Reading (A2)_Negative_Points,Reading (A2)_Section_Percentage,Reading (A2)_Questions,Reading (A2)_Not_Answered,Reading (A2)_Answered,Reading (A2)_Correct,Reading (A2)_Wrong,Reading (B1)_Total_Score,Reading (B1)_Candidate_Score,Reading (B1)_Negative_Points,Reading (B1)_Section_Percentage,Reading (B1)_Questions,Reading (B1)_Not_Answered,Reading (B1)_Answered,Reading (B1)_Correct,Reading (B1)_Wrong,Reading (B2-C1)_Total_Score,Reading (B2-C1)_Candidate_Score,Reading (B2-C1)_Negative_Points,Reading (B2-C1)_Section_Percentage,Reading (B2-C1)_Questions,Reading (B2-C1)_Not_Answered,Reading (B2-C1)_Answered,Reading (B2-C1)_Correct,Reading (B2-C1)_Wrong,Listening (A2)_Total_Score,Listening (A2)_Candidate_Score,Listening (A2)_Negative_Points,Listening (A2)_Section_Percentage,Listening (A2)_Questions,Listening (A2)_Not_Answered,Listening (A2)_Answered,Listening (A2)_Correct,Listening (A2)_Wrong,Listening (B1)_Total_Score,Listening (B1)_Candidate_Score,Listening (B1)_Negative_Points,Listening (B1)_Section_Percentage,Listening (B1)_Questions,Listening (B1)_Not_Answered,Listening (B1)_Answered,Listening (B1)_Correct,Listening (B1)_Wrong,Listening (B2-C1)_Total_Score,Listening (B2-C1)_Candidate_Score,Listening (B2-C1)_Negative_Points,Listening (B2-C1)_Section_Percentage,Listening (B2-C1)_Questions,Listening (B2-C1)_Not_Answered,Listening (B2-C1)_Answered,Listening (B2-C1)_Correct,Listening (B2-C1)_Wrong,Speaking_Hard (Workplace)_Total_Score,Speaking_Hard (Workplace)_Candidate_Score,Speaking_Hard (Workplace)_Negative_Points,Speaking_Hard (Workplace)_Section_Percentage,Speaking_Hard (Workplace)_OralFluency_Percentage,Speaking_Hard (Workplace)_Vocabulary_Percentage,Speaking_Hard (Workplace)Grammar_Percentage,Speaking_Hard (Workplace)_Phonological_Control_Percentage,Speaking_Hard (Workplace)_Comprehension_Percentage,Speaking_Hard (Workplace)_CEFR_Level,Speaking_Hard (Workplace)_Questions,Speaking_Hard (Workplace)_Not_Answered,Speaking_Hard (Workplace)_Answered,Speaking_Hard (Workplace)_Correct,Speaking_Hard (Workplace)_Wrong,Speaking_Medium (Workplace)_Total_Score,Speaking_Medium (Workplace)_Candidate_Score,Speaking_Medium (Workplace)_Negative_Points,Speaking_Medium (Workplace)_Section_Percentage,Speaking_Medium (Workplace)_OralFluency_Percentage,Speaking_Medium (Workplace)_Vocabulary_Percentage,Speaking_Medium (Workplace)Grammar_Percentage,Speaking_Medium (Workplace)_Phonological_Control_Percentage,Speaking_Medium (Workplace)_Comprehension_Percentage,Speaking_Medium (Workplace)_CEFR_Level,Speaking_Medium (Workplace)_Questions,Speaking_Medium (Workplace)_Not_Answered,Speaking_Medium (Workplace)_Answered,Speaking_Medium (Workplace)_Correct,Speaking_Medium (Workplace)_Wrong,Speaking_Easy (Personal)_Total_Score,Speaking_Easy (Personal)_Candidate_Score,Speaking_Easy (Personal)_Negative_Points,Speaking_Easy (Personal)_Section_Percentage,Speaking_Easy (Personal)_OralFluency_Percentage,Speaking_Easy (Personal)_Vocabulary_Percentage,Speaking_Easy (Personal)Grammar_Percentage,Speaking_Easy (Personal)_Phonological_Control_Percentage,Speaking_Easy (Personal)_Comprehension_Percentage,Speaking_Easy (Personal)_CEFR_Level,Speaking_Easy (Personal)_Questions,Speaking_Easy (Personal)_Not_Answered,Speaking_Easy (Personal)_Answered,Speaking_Easy (Personal)_Correct,Speaking_Easy (Personal)_Wrong
admin@mockco.com,15-Jan-2026 10:10 AM,E001,Alice Morgan,alice.morgan@mock.com,0,0,0,1316769,English Proficiency Assessment -Set 1,Completed,Mock Test Batch 1,0,0,0,0,0,17,51,30,0,Green,0,0,0,0,0,0,Fixed Section Order,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,2,0,33,6,0,6,2,4,9,5,0,56,9,0,9,5,4,11,8,0,73,11,0,11,8,3,6,2,0,33,6,0,6,2,4,9,3,0,33,9,0,9,3,6,11,3,0,27,11,0,11,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin@mockco.com,15-Jan-2026 10:11 AM,E002,Brian Carter,brian.carter@mock.com,0,0,0,1316769,English Proficiency Assessment -Set 1,Completed,Mock Test Batch 1,0,0,0,0,0,17,51,31,0,Green,0,0,0,0,0,0,Fixed Section Order,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,4,0,67,6,0,6,4,2,9,7,0,78,9,0,9,7,2,11,10,0,91,11,0,11,10,1,6,3,0,50,6,0,6,3,3,9,4,0,44,9,0,9,4,5,11,5,0,45,11,0,11,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin@mockco.com,15-Jan-2026 10:12 AM,E003,Clara Hughes,clara.hughes@mock.com,0,0,0,1316769,English Proficiency Assessment -Set 1,Completed,Mock Test Batch 1,0,0,0,0,0,17,51,32,0,Green,0,0,0,0,0,0,Fixed Section Order,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,5,0,83,6,0,6,5,1,9,3,0,33,9,0,9,3,6,11,9,0,82,11,0,11,9,2,6,4,0,67,6,0,6,4,2,9,4,0,44,9,0,9,4,5,11,6,0,55,11,0,11,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin@mockco.com,15-Jan-2026 10:13 AM,E004,David Patel,david.patel@mock.com,0,0,0,1316769,English Proficiency Assessment -Set 1,Completed,Mock Test Batch 1,0,0,0,0,0,17,51,33,0,Green,0,0,0,0,0,0,Fixed Section Order,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,6,0,100,6,0,6,6,0,9,5,0,56,9,0,9,5,4,11,10,0,91,11,0,11,10,1,6,5,0,83,6,0,6,5,1,9,5,0,56,9,0,9,5,4,11,7,0,64,11,0,11,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin@mockco.com,15-Jan-2026 10:14 AM,E005,Emma Collins,emma.collins@mock.com,0,0,0,1316769,English Proficiency Assessment -Set 1,Completed,Mock Test Batch 1,0,0,0,0,0,17,51,34,0,Green,0,0,0,0,0,0,Fixed Section Order,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,5,0,83,6,0,6,5,1,9,4,0,44,9,0,9,4,5,11,7,0,64,11,0,11,7,4,6,4,0,67,6,0,6,4,2,9,5,0,56,9,0,9,5,4,11,6,0,55,11,0,11,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin@mockco.com,15-Jan-2026 10:15 AM,E006,Frank Rivera,frank.rivera@mock.com,0,0,0,1316769,English Proficiency Assessment -Set 1,Completed,Mock Test Batch 1,0,0,0,0,0,17,51,35,0,Green,0,0,0,0,0,0,Fixed Section Order,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,5,0,83,6,0,6,5,1,9,6,0,67,9,0,9,6,3,11,4,0,36,11,0,11,4,7,6,5,0,83,6,0,6,5,1,9,6,0,67,9,0,9,6,3,11,5,0,45,11,0,11,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin@mockco.com,15-Jan-2026 10:16 AM,E007,Grace Kim,grace.kim@mock.com,0,0,0,1316769,English Proficiency Assessment -Set 1,Completed,Mock Test Batch 1,0,0,0,0,0,17,51,36,0,Green,0,0,0,0,0,0,Fixed Section Order,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,6,0,100,6,0,6,6,0,9,8,0,89,9,0,9,8,1,11,6,0,55,11,0,11,6,5,6,6,0,100,6,0,6,6,0,9,7,0,78,9,0,9,7,2,11,8,0,73,11,0,11,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin@mockco.com,15-Jan-2026 10:17 AM,E008,Henry Walsh,henry.walsh@mock.com,0,0,0,1316769,English Proficiency Assessment -Set 1,Completed,Mock Test Batch 1,0,0,0,0,0,17,51,37,0,Green,0,0,0,0,0,0,Fixed Section Order,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,5,0,83,6,0,6,5,1,9,7,0,78,9,0,9,7,2,11,5,0,45,11,0,11,5,6,6,5,0,83,6,0,6,5,1,9,6,0,67,9,0,9,6,3,11,6,0,55,11,0,11,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin@mockco.com,15-Jan-2026 10:18 AM,E009,Isla Bennett,isla.bennett@mock.com,0,0,0,1316769,English Proficiency Assessment -Set 1,Completed,Mock Test Batch 1,0,0,0,0,0,17,51,38,0,Green,0,0,0,0,0,0,Fixed Section Order,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,5,0,83,6,0,6,5,1,9,6,0,67,9,0,9,6,3,11,7,0,64,11,0,11,7,4,6,5,0,83,6,0,6,5,1,9,7,0,78,9,0,9,7,2,11,7,0,64,11,0,11,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin@mockco.com,15-Jan-2026 10:19 AM,E010,James Okonkwo,james.okonkwo@mock.com,0,0,0,1316769,English Proficiency Assessment -Set 1,Completed,Mock Test Batch 1,0,0,0,0,0,17,51,39,0,Green,0,0,0,0,0,0,Fixed Section Order,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,6,0,100,6,0,6,6,0,9,7,0,78,9,0,9,7,2,11,8,0,73,11,0,11,8,3,6,6,0,100,6,0,6,6,0,9,7,0,78,9,0,9,7,2,11,9,0,82,11,0,11,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
